"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 04:46:30 GMT 2022","Wed Jun 01 04:46:30 GMT 2022","28","","ExamTest","","ExamTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Navigation to the login page"
"broken","Wed Jun 01 04:46:30 GMT 2022","Wed Jun 01 04:46:30 GMT 2022","3","","ExamTest","","ExamTest","navigateOnBlondeSite","navigateOnBlondeSite()","Navigation to the login page"
"broken","Wed Jun 01 04:46:30 GMT 2022","Wed Jun 01 04:46:30 GMT 2022","2","","ExamTest","","ExamTest","loginBlondeSite","loginBlondeSite()","Navigation to the login page and login to the site"
