"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 31 16:36:24 GMT 2022","Tue May 31 16:36:25 GMT 2022","1082","","ExamTest","","ExamTest","loginBlondeSite","loginBlondeSite()","Navigation to the login page"
"broken","Tue May 31 16:35:53 GMT 2022","Tue May 31 16:36:24 GMT 2022","31168","","ExamTest","","ExamTest","navigateOnBlondeSite","navigateOnBlondeSite()","Navigation to the login page"
"broken","Tue May 31 16:35:19 GMT 2022","Tue May 31 16:35:53 GMT 2022","33932","","ExamTest","","ExamTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Navigation to the login page"
