"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 05:13:06 GMT 2022","Wed Jun 01 05:13:06 GMT 2022","30","","ExamTest","","ExamTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Navigation to the login page"
"broken","Wed Jun 01 05:13:06 GMT 2022","Wed Jun 01 05:13:06 GMT 2022","8","","ExamTest","","ExamTest","navigateOnBlondeSite","navigateOnBlondeSite()","Navigation to the login page"
"broken","Wed Jun 01 05:13:06 GMT 2022","Wed Jun 01 05:13:06 GMT 2022","4","","ExamTest","","ExamTest","loginBlondeSite","loginBlondeSite()","Navigation to the login page and login to the site"
