"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 04:22:47 GMT 2022","Wed Jun 01 04:22:48 GMT 2022","1221","","ExamTest","","ExamTest","loginBlondeSite","loginBlondeSite()","Navigation to the login page and login to the site"
"passed","Wed Jun 01 04:22:12 GMT 2022","Wed Jun 01 04:22:16 GMT 2022","4415","","ExamTest","","ExamTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Navigation to the login page"
"broken","Wed Jun 01 04:22:16 GMT 2022","Wed Jun 01 04:22:47 GMT 2022","30789","","ExamTest","","ExamTest","navigateOnBlondeSite","navigateOnBlondeSite()","Navigation to the login page"
