"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 31 18:32:48 GMT 2022","Tue May 31 18:32:49 GMT 2022","1075","","ExamTest","","ExamTest","loginBlondeSite","loginBlondeSite()","Navigation to the login page"
"broken","Tue May 31 18:31:43 GMT 2022","Tue May 31 18:32:17 GMT 2022","33395","","ExamTest","","ExamTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Navigation to the login page"
"broken","Tue May 31 18:32:17 GMT 2022","Tue May 31 18:32:48 GMT 2022","31225","","ExamTest","","ExamTest","navigateOnBlondeSite","navigateOnBlondeSite()","Navigation to the login page"
