"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 31 18:24:18 GMT 2022","Tue May 31 18:24:19 GMT 2022","1105","","ExamTest","","ExamTest","loginBlondeSite","loginBlondeSite()","Navigation to the login page"
"broken","Tue May 31 18:23:47 GMT 2022","Tue May 31 18:24:18 GMT 2022","31188","","ExamTest","","ExamTest","navigateOnBlondeSite","navigateOnBlondeSite()","Navigation to the login page"
"broken","Tue May 31 18:23:12 GMT 2022","Tue May 31 18:23:47 GMT 2022","34349","","ExamTest","","ExamTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Navigation to the login page"
