"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 07:09:21 GMT 2022","Thu Jul 07 07:09:22 GMT 2022","859","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 2 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"failed","Thu Jul 07 07:12:28 GMT 2022","Thu Jul 07 07:12:42 GMT 2022","13234","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactFromJSONFileOnBlondeSite","fillContactFromJSONFileOnBlondeSite()","Fill all contact field from JSON file, and send Submit button"
"failed","Thu Jul 07 07:05:34 GMT 2022","Thu Jul 07 07:05:58 GMT 2022","23742","","MainUserManagementTest","","MainUserManagementTest","deleteAccountFromBlondeSite","deleteAccountFromBlondeSite()","Delete account data and check result"
"passed","Thu Jul 07 07:08:55 GMT 2022","Thu Jul 07 07:09:18 GMT 2022","22595","","MainUserManagementTest","","MainUserManagementTest","logoutFromBlondeSite","logoutFromBlondeSite()","Logout from site and check result"
"passed","Thu Jul 07 07:10:44 GMT 2022","Thu Jul 07 07:10:56 GMT 2022","11725","","MainControlSiteTest","","MainControlSiteTest","linksOnBlondeSite","linksOnBlondeSite()","Click on all links at subpage and check titles"
"failed","Thu Jul 07 07:11:04 GMT 2022","Thu Jul 07 07:11:11 GMT 2022","7362","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Fill all contact field from defined strings, and send Submit button"
"passed","Thu Jul 07 07:08:16 GMT 2022","Thu Jul 07 07:08:55 GMT 2022","39630","","MainUserManagementTest","","MainUserManagementTest","registerFromJSONFileToBlondeSite","registerFromJSONFileToBlondeSite()","Register five users and check appearing message after every register"
"broken","Thu Jul 07 07:11:52 GMT 2022","Thu Jul 07 07:12:28 GMT 2022","36564","","MainWorkWithDataTest","","MainWorkWithDataTest","searchOnBlondeSite","searchOnBlondeSite()","Search with defined strings and check result"
"passed","Thu Jul 07 07:10:31 GMT 2022","Thu Jul 07 07:10:38 GMT 2022","7181","","MainControlSiteTest","","MainControlSiteTest","tagsOnBlondeSite","tagsOnBlondeSite()","Click on all tags  at subpage and check titles"
"passed","Thu Jul 07 07:07:23 GMT 2022","Thu Jul 07 07:07:46 GMT 2022","22855","","MainUserManagementTest","","MainUserManagementTest","modifyDataOnBlondeSite","modifyDataOnBlondeSite()","Modiiy profile data and check result"
"passed","Thu Jul 07 07:11:46 GMT 2022","Thu Jul 07 07:11:52 GMT 2022","6252","","MainWorkWithDataTest","","MainWorkWithDataTest","orderedListTestOnBlondeSite","orderedListTestOnBlondeSite()","Read <li> elements from <ol> ordered list, and check the result"
"passed","Thu Jul 07 07:06:10 GMT 2022","Thu Jul 07 07:07:23 GMT 2022","72375","","MainUserManagementTest","","MainUserManagementTest","loginFromJSONFileToBlondeSite","loginFromJSONFileToBlondeSite()","Login with five users and check result"
"passed","Thu Jul 07 07:05:58 GMT 2022","Thu Jul 07 07:06:10 GMT 2022","12038","","MainUserManagementTest","","MainUserManagementTest","registerToBlondeSite","registerToBlondeSite()","Register one user and check appearing message after register"
"passed","Thu Jul 07 07:07:46 GMT 2022","Thu Jul 07 07:07:52 GMT 2022","6316","","MainUserManagementTest","","MainUserManagementTest","closeContractOnBlondeSite","closeContractOnBlondeSite()","Close the Terms and Conditions popup window"
"failed","Thu Jul 07 07:11:19 GMT 2022","Thu Jul 07 07:11:25 GMT 2022","6798","","MainWorkWithDataTest","","MainWorkWithDataTest","saveTextFromBlondeSite","saveTextFromBlondeSite()","Saving Text from the Blonde Site"
"passed","Thu Jul 07 07:09:27 GMT 2022","Thu Jul 07 07:09:28 GMT 2022","713","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 5 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 07:09:25 GMT 2022","Thu Jul 07 07:09:25 GMT 2022","809","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 2 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 07:10:38 GMT 2022","Thu Jul 07 07:10:44 GMT 2022","6028","","MainControlSiteTest","","MainControlSiteTest","cssStyleOnBlondeSite","cssStyleOnBlondeSite()","Click on 'moon' button and check the result (button and class name changing)"
"passed","Thu Jul 07 07:11:33 GMT 2022","Thu Jul 07 07:11:39 GMT 2022","6294","","MainWorkWithDataTest","","MainWorkWithDataTest","tablesNameTestOnBlondeSite","tablesNameTestOnBlondeSite()","Check first table's Name column (array)"
"passed","Thu Jul 07 07:09:23 GMT 2022","Thu Jul 07 07:09:23 GMT 2022","627","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 4 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 07:09:23 GMT 2022","Thu Jul 07 07:09:24 GMT 2022","690","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 5 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 07:07:58 GMT 2022","Thu Jul 07 07:08:16 GMT 2022","17184","","MainUserManagementTest","","MainUserManagementTest","loginToBlondeSite","loginToBlondeSite()","Login with one user and check result"
"passed","Thu Jul 07 07:09:25 GMT 2022","Thu Jul 07 07:09:26 GMT 2022","807","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 3 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
