"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 11:40:51 GMT 2022","Thu Jul 07 11:41:13 GMT 2022","22341","","MainUserManagementTest","","MainUserManagementTest","modifyDataOnBlondeSite","modifyDataOnBlondeSite()","Modiiy profile data and check result"
"passed","Thu Jul 07 11:45:06 GMT 2022","Thu Jul 07 11:45:11 GMT 2022","5833","","MainWorkWithDataTest","","MainWorkWithDataTest","orderedListTestOnBlondeSite","orderedListTestOnBlondeSite()","Read <li> elements from <ol> ordered list, and check the result"
"failed","Thu Jul 07 11:45:11 GMT 2022","Thu Jul 07 11:45:46 GMT 2022","34318","","MainWorkWithDataTest","","MainWorkWithDataTest","searchOnBlondeSite","searchOnBlondeSite()","Search with defined strings and check result"
"passed","Thu Jul 07 11:41:42 GMT 2022","Thu Jul 07 11:42:21 GMT 2022","38624","","MainUserManagementTest","","MainUserManagementTest","registerFromJSONFileToBlondeSite","registerFromJSONFileToBlondeSite()","Register five users and check appearing message after every register"
"passed","Thu Jul 07 11:42:49 GMT 2022","Thu Jul 07 11:42:50 GMT 2022","783","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 4 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 11:41:13 GMT 2022","Thu Jul 07 11:41:19 GMT 2022","6017","","MainUserManagementTest","","MainUserManagementTest","closeContractOnBlondeSite","closeContractOnBlondeSite()","Close the Terms and Conditions popup window"
"passed","Thu Jul 07 11:39:29 GMT 2022","Thu Jul 07 11:39:40 GMT 2022","11540","","MainUserManagementTest","","MainUserManagementTest","registerToBlondeSite","registerToBlondeSite()","Register one user and check appearing message after register"
"passed","Thu Jul 07 11:42:21 GMT 2022","Thu Jul 07 11:42:43 GMT 2022","22117","","MainUserManagementTest","","MainUserManagementTest","logoutFromBlondeSite","logoutFromBlondeSite()","Logout from site and check result"
"passed","Thu Jul 07 11:42:46 GMT 2022","Thu Jul 07 11:42:46 GMT 2022","567","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 3 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 11:42:51 GMT 2022","Thu Jul 07 11:43:53 GMT 2022","62713","","MainControlSiteTest","","MainControlSiteTest","pagesOnBlondeSite","pagesOnBlondeSite()","Click on next page buttons  at subpage and check titles"
