"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 07 12:26:54 GMT 2022","Thu Jul 07 12:27:00 GMT 2022","6795","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Fill all contact field from defined strings, and send Submit button"
"passed","Thu Jul 07 12:25:22 GMT 2022","Thu Jul 07 12:25:22 GMT 2022","441","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 3 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"failed","Thu Jul 07 12:28:10 GMT 2022","Thu Jul 07 12:28:22 GMT 2022","11846","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactFromJSONFileOnBlondeSite","fillContactFromJSONFileOnBlondeSite()","Fill all contact field from JSON file, and send Submit button"
"passed","Thu Jul 07 12:25:23 GMT 2022","Thu Jul 07 12:25:23 GMT 2022","416","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 5 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 12:22:07 GMT 2022","Thu Jul 07 12:22:19 GMT 2022","11295","","MainUserManagementTest","","MainUserManagementTest","registerToBlondeSite","registerToBlondeSite()","Register one user and check appearing message after register"
"passed","Thu Jul 07 12:27:00 GMT 2022","Thu Jul 07 12:27:07 GMT 2022","6168","","MainWorkWithDataTest","","MainWorkWithDataTest","deleteInputFromContactOnBlondeSite","deleteInputFromContactOnBlondeSite()","Fill and delete contact fields and check warning message"
"passed","Thu Jul 07 12:25:19 GMT 2022","Thu Jul 07 12:25:20 GMT 2022","446","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 3 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 12:27:30 GMT 2022","Thu Jul 07 12:27:36 GMT 2022","5674","","MainWorkWithDataTest","","MainWorkWithDataTest","orderedListTestOnBlondeSite","orderedListTestOnBlondeSite()","Read <li> elements from <ol> ordered list, and check the result"
"passed","Thu Jul 07 12:25:21 GMT 2022","Thu Jul 07 12:25:22 GMT 2022","526","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 2 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 12:25:21 GMT 2022","Thu Jul 07 12:25:21 GMT 2022","451","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 1 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
