"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 31 18:38:31 GMT 2022","Tue May 31 18:39:02 GMT 2022","31256","","ExamTest","","ExamTest","navigateOnBlondeSite","navigateOnBlondeSite()","Navigation to the login page"
"passed","Tue May 31 18:38:26 GMT 2022","Tue May 31 18:38:31 GMT 2022","4554","","ExamTest","","ExamTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Navigation to the login page"
"passed","Tue May 31 18:39:02 GMT 2022","Tue May 31 18:39:03 GMT 2022","1332","","ExamTest","","ExamTest","loginBlondeSite","loginBlondeSite()","Navigation to the login page"
