"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 12:42:16 GMT 2022","Thu Jul 07 12:42:28 GMT 2022","11411","","MainUserManagementTest","","MainUserManagementTest","registerToBlondeSite","registerToBlondeSite()","Register one user and check appearing message after register"
"failed","Thu Jul 07 12:48:23 GMT 2022","Thu Jul 07 12:48:34 GMT 2022","11827","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactFromJSONFileOnBlondeSite","fillContactFromJSONFileOnBlondeSite()","Fill all contact field from JSON file, and send Submit button"
"passed","Thu Jul 07 12:46:42 GMT 2022","Thu Jul 07 12:46:48 GMT 2022","5663","","MainControlSiteTest","","MainControlSiteTest","cssStyleOnBlondeSite","cssStyleOnBlondeSite()","Click on 'moon' button and check the result (button and class name changing)"
"passed","Thu Jul 07 12:47:24 GMT 2022","Thu Jul 07 12:47:31 GMT 2022","6817","","MainWorkWithDataTest","","MainWorkWithDataTest","savingImageFromBlondeSite","savingImageFromBlondeSite()","Save an image from subpage"
"passed","Thu Jul 07 12:45:29 GMT 2022","Thu Jul 07 12:45:29 GMT 2022","512","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 2 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"failed","Thu Jul 07 12:41:54 GMT 2022","Thu Jul 07 12:42:16 GMT 2022","22436","","MainUserManagementTest","","MainUserManagementTest","deleteAccountFromBlondeSite","deleteAccountFromBlondeSite()","Delete account data and check result"
"passed","Thu Jul 07 12:43:59 GMT 2022","Thu Jul 07 12:44:05 GMT 2022","5922","","MainUserManagementTest","","MainUserManagementTest","closeContractOnBlondeSite","closeContractOnBlondeSite()","Close the Terms and Conditions popup window"
"passed","Thu Jul 07 12:47:42 GMT 2022","Thu Jul 07 12:47:48 GMT 2022","5633","","MainWorkWithDataTest","","MainWorkWithDataTest","orderedListTestOnBlondeSite","orderedListTestOnBlondeSite()","Read <li> elements from <ol> ordered list, and check the result"
"passed","Thu Jul 07 12:45:31 GMT 2022","Thu Jul 07 12:45:31 GMT 2022","425","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 1 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 12:45:30 GMT 2022","Thu Jul 07 12:45:31 GMT 2022","487","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 5 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 12:45:31 GMT 2022","Thu Jul 07 12:45:32 GMT 2022","542","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 3 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 12:44:05 GMT 2022","Thu Jul 07 12:44:11 GMT 2022","5949","","MainUserManagementTest","","MainUserManagementTest","acceptContractOnBlondeSite","acceptContractOnBlondeSite()","Accept the 'Terms and Conditions' popup window"
"passed","Thu Jul 07 12:45:29 GMT 2022","Thu Jul 07 12:45:30 GMT 2022","518","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 3 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 12:42:28 GMT 2022","Thu Jul 07 12:43:37 GMT 2022","69518","","MainUserManagementTest","","MainUserManagementTest","loginFromJSONFileToBlondeSite","loginFromJSONFileToBlondeSite()","Login with five users and check result"
"failed","Thu Jul 07 12:47:18 GMT 2022","Thu Jul 07 12:47:24 GMT 2022","5908","","MainWorkWithDataTest","","MainWorkWithDataTest","saveTextFromBlondeSite","saveTextFromBlondeSite()","Saving Text from the Blonde Site"
"passed","Thu Jul 07 12:44:27 GMT 2022","Thu Jul 07 12:45:05 GMT 2022","37860","","MainUserManagementTest","","MainUserManagementTest","registerFromJSONFileToBlondeSite","registerFromJSONFileToBlondeSite()","Register five users and check appearing message after every register"
"passed","Thu Jul 07 12:44:11 GMT 2022","Thu Jul 07 12:44:27 GMT 2022","16433","","MainUserManagementTest","","MainUserManagementTest","loginToBlondeSite","loginToBlondeSite()","Login with one user and check result"
"failed","Thu Jul 07 12:47:48 GMT 2022","Thu Jul 07 12:48:23 GMT 2022","34683","","MainWorkWithDataTest","","MainWorkWithDataTest","searchOnBlondeSite","searchOnBlondeSite()","Search with defined strings and check result"
"passed","Thu Jul 07 12:45:31 GMT 2022","Thu Jul 07 12:45:31 GMT 2022","435","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 2 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 12:46:35 GMT 2022","Thu Jul 07 12:46:42 GMT 2022","7320","","MainControlSiteTest","","MainControlSiteTest","tagsOnBlondeSite","tagsOnBlondeSite()","Click on all tags  at subpage and check titles"
"passed","Thu Jul 07 12:45:33 GMT 2022","Thu Jul 07 12:46:35 GMT 2022","61909","","MainControlSiteTest","","MainControlSiteTest","pagesOnBlondeSite","pagesOnBlondeSite()","Click on next page buttons  at subpage and check titles"
"passed","Thu Jul 07 12:45:27 GMT 2022","Thu Jul 07 12:45:29 GMT 2022","1600","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 1 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 12:45:32 GMT 2022","Thu Jul 07 12:45:32 GMT 2022","464","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 4 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"failed","Thu Jul 07 12:47:05 GMT 2022","Thu Jul 07 12:47:12 GMT 2022","6576","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Fill all contact field from defined strings, and send Submit button"
"passed","Thu Jul 07 12:47:37 GMT 2022","Thu Jul 07 12:47:42 GMT 2022","5642","","MainWorkWithDataTest","","MainWorkWithDataTest","tablesAgeTestOnBlondeSite","tablesAgeTestOnBlondeSite()","Check first table's Age column (array)"
"passed","Thu Jul 07 12:47:31 GMT 2022","Thu Jul 07 12:47:37 GMT 2022","5793","","MainWorkWithDataTest","","MainWorkWithDataTest","tablesNameTestOnBlondeSite","tablesNameTestOnBlondeSite()","Check first table's Name column (array)"
"passed","Thu Jul 07 12:45:05 GMT 2022","Thu Jul 07 12:45:27 GMT 2022","21667","","MainUserManagementTest","","MainUserManagementTest","logoutFromBlondeSite","logoutFromBlondeSite()","Logout from site and check result"
"failed","Thu Jul 07 12:46:59 GMT 2022","Thu Jul 07 12:47:05 GMT 2022","6905","","MainWorkWithDataTest","","MainWorkWithDataTest","fillContactFromTxtFileOnBlondeSite","fillContactFromTxtFileOnBlondeSite()","Fill all contact field from TXT file, and send Submit button"
"passed","Thu Jul 07 12:45:30 GMT 2022","Thu Jul 07 12:45:30 GMT 2022","506","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 4 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 12:43:37 GMT 2022","Thu Jul 07 12:43:59 GMT 2022","21916","","MainUserManagementTest","","MainUserManagementTest","modifyDataOnBlondeSite","modifyDataOnBlondeSite()","Modiiy profile data and check result"
"passed","Thu Jul 07 12:47:12 GMT 2022","Thu Jul 07 12:47:18 GMT 2022","6160","","MainWorkWithDataTest","","MainWorkWithDataTest","deleteInputFromContactOnBlondeSite","deleteInputFromContactOnBlondeSite()","Fill and delete contact fields and check warning message"
"passed","Thu Jul 07 12:46:48 GMT 2022","Thu Jul 07 12:46:59 GMT 2022","10648","","MainControlSiteTest","","MainControlSiteTest","linksOnBlondeSite","linksOnBlondeSite()","Click on all links at subpage and check titles"
"passed","Thu Jul 07 12:45:32 GMT 2022","Thu Jul 07 12:45:33 GMT 2022","496","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 5 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
