"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 31 17:59:19 GMT 2022","Tue May 31 17:59:51 GMT 2022","31168","","ExamTest","","ExamTest","navigateOnBlondeSite","navigateOnBlondeSite()","Navigation to the login page"
"broken","Tue May 31 17:58:45 GMT 2022","Tue May 31 17:59:19 GMT 2022","34392","","ExamTest","","ExamTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Navigation to the login page"
"passed","Tue May 31 17:59:51 GMT 2022","Tue May 31 17:59:52 GMT 2022","1094","","ExamTest","","ExamTest","loginBlondeSite","loginBlondeSite()","Navigation to the login page"
