"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 31 15:18:17 GMT 2022","Tue May 31 15:18:49 GMT 2022","31931","","ExamTest","","ExamTest","fillContactOnBlondeSite","fillContactOnBlondeSite()","Navigation to the login page"
"passed","Tue May 31 15:19:21 GMT 2022","Tue May 31 15:19:22 GMT 2022","1191","","ExamTest","","ExamTest","loginBlondeSite","loginBlondeSite()","Navigation to the login page"
"broken","Tue May 31 15:18:49 GMT 2022","Tue May 31 15:19:21 GMT 2022","31345","","ExamTest","","ExamTest","navigateOnBlondeSite","navigateOnBlondeSite()","Navigation to the login page"
